key,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
cfb5325c83ad40797068e162c50ee5a0,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria
231e3d1635ff621b8c1c3a9f5c0b2b20,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria
f687a4f18a6d8e0ade28a558503bd998,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria
0d10f1d273a62c6d7af57c6093632919,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
cdf0df5cff98449512dbd2725721a307,20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria
77b1932b3eec9f094a2b103001f0dff1,20703,Whitehorse - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria
8ceab02fd10ccfca0ee92f8d14087c7d,29797,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),2,Victoria
6d7364731230122df155fddea6878dd3,39999,No usual address (Qld),399,No usual address (Qld),39499,No usual address (Qld),3,Queensland
a306a13c6c1ee387390fdc96c7bdca66,31802,Townsville,318,Townsville,3RQLD,Rest of Qld,3,Queensland
76d77e63456ae93049d2bfe3e7356354,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland
eb6ee4b36cdf23e8167e10a47e340fed,30605,Tablelands (East) - Kuranda,306,Cairns,3RQLD,Rest of Qld,3,Queensland
01ad78c33cf1fcaf447971fa919a96b7,31501,Far North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland
56bc2ffafe5268122fb8c00807dea91f,30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland
ed0ec47d9ace176c75820740b17aa553,30804,Biloela,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland
0718aac22ecc8481c33c38f79ba7f5bb,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland
8fe8b1a271feba2ac9af3584caddbf89,31104,Jimboomba,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland
cef65a145c54dbe0f1ea8ad16a331421,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland
d1e40981bafcf2c263607fbc27e7a34e,30904,Gold Coast Hinterland,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland
485f1d0ae76a063a524f0c6315e93e74,31101,Beaudesert,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland
ce49d66b1ddfeb732c56810c4736e3c3,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland
3a0b86bff1bab2d03baa6b260e578b50,31201,Bowen Basin - North,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland
24c301e049a2077855d3e37ba719b09d,31902,Burnett,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland
b5146481a245e50255f5b24319c2711a,30305,Rocklea - Acacia Ridge,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland
b899aa15c56fee62bcea0903b59b18fe,30503,Brisbane Inner - North,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland
ab5a47d41c51bcd432f515088a070b8b,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland
df3533caf8f1bedde6a6633d90819e82,30402,Kenmore - Brookfield - Moggill,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland
8b559bb0b6348d0baedcfd7e3b468f54,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland
ac4e368758b1e4e2b89f45b7554ac7ab,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland
5e5c6be7a4b64ead7fe95a284e013e18,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland
4fa0d97504185879b6e7524dda47d98b,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland
f18eb5201b7221148de220114667ba96,30502,Brisbane Inner - East,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland
bfebf2c52000d2bac1a130520ace5dd7,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland
2ec937378ea08e49faa1a6608880d002,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland
fe93fd567b9aafe3cc3372a19309fc6a,30303,Mt Gravatt,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland
e1b0e6b958ea38f4dae5f9d24730ef05,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland
bc8147ca69573b8a699c18e7ddbcfb48,30301,Carindale,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland
3e95b38ce315f12892dee0121e6fad4a,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland
e3036fb3e0fd60ba20772f6325fa8f60,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland
443fbc49b4ab9988d64065d7e2fddf1a,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland
cde1d59c5e9400b69a4854735d590888,30304,Nathan,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland
93f947b225ac771e805ea9d368c8ae29,31001,Forest Lake - Oxley,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland
